,loc_2,name,phone,location,location_0,location_1,CODE,NAME,X,Y,loc,loc_0,loc_1,scale
109,부산광역시 사하구,19,19,19,19,19,26380,사하구,128.9395,35.057,부산광역시 사하구,부산광역시,사하구,0.20689655172413793
110,부산광역시 서구,6,6,6,6,6,26140,서구,129.012,35.096999999999994,부산광역시 서구,부산광역시,서구,0.05747126436781609
111,부산광역시 수영구,17,17,17,17,17,26500,수영구,129.1135,35.161500000000004,부산광역시 수영구,부산광역시,수영구,0.1839080459770115
112,부산광역시 연제구,17,17,17,17,17,26470,연제구,129.0815,35.1785,부산광역시 연제구,부산광역시,연제구,0.1839080459770115
113,부산광역시 영도구,5,5,5,5,5,26200,영도구,129.06400000000002,35.075,부산광역시 영도구,부산광역시,영도구,0.04597701149425287
114,부산광역시 중구,3,3,3,3,3,26110,중구,129.0315,35.105999999999995,부산광역시 중구,부산광역시,중구,0.022988505747126436
115,부산광역시 해운대구,45,45,45,45,45,26350,해운대구,129.159,35.201499999999996,부산광역시 해운대구,부산광역시,해운대구,0.5057471264367817
116,서울특별시 강남구,83,83,83,83,83,11680,강남구,127.06649999999999,37.496,서울특별시 강남구,서울특별시,강남구,0.9425287356321839
117,서울특별시 강동구,36,36,36,36,36,11740,강동구,127.146,37.548500000000004,서울특별시 강동구,서울특별시,강동구,0.40229885057471265
118,서울특별시 강북구,24,24,24,24,24,11305,강북구,127.015,37.647000000000006,서울특별시 강북구,서울특별시,강북구,0.26436781609195403
119,서울특별시 강서구,47,47,47,47,47,11500,강서구,126.8235,37.5655,서울특별시 강서구,서울특별시,강서구,0.5287356321839081
120,서울특별시 관악구,30,30,30,30,30,11620,관악구,126.944,37.465999999999994,서울특별시 관악구,서울특별시,관악구,0.3333333333333333
121,서울특별시 광진구,31,31,31,31,31,11215,광진구,127.0855,37.548500000000004,서울특별시 광진구,서울특별시,광진구,0.3448275862068966
122,서울특별시 구로구,29,29,29,29,29,11530,구로구,126.858,37.495999999999995,서울특별시 구로구,서울특별시,구로구,0.3218390804597701
123,서울특별시 금천구,16,16,16,16,16,11545,금천구,126.9,37.460499999999996,서울특별시 금천구,서울특별시,금천구,0.1724137931034483
124,서울특별시 노원구,42,42,42,42,42,11350,노원구,127.077,37.655,서울특별시 노원구,서울특별시,노원구,0.47126436781609193
125,서울특별시 도봉구,25,25,25,25,25,11320,도봉구,127.032,37.6665,서울특별시 도봉구,서울특별시,도봉구,0.27586206896551724
126,서울특별시 동대문구,27,27,27,27,27,11230,동대문구,127.0505,37.584,서울특별시 동대문구,서울특별시,동대문구,0.2988505747126437
127,서울특별시 동작구,24,24,24,24,24,11590,동작구,126.944,37.4965,서울특별시 동작구,서울특별시,동작구,0.26436781609195403
128,서울특별시 마포구,47,47,47,47,47,11440,마포구,126.90899999999999,37.5625,서울특별시 마포구,서울특별시,마포구,0.5287356321839081
129,서울특별시 서대문구,25,25,25,25,25,11410,서대문구,126.93549999999999,37.582,서울특별시 서대문구,서울특별시,서대문구,0.27586206896551724
130,서울특별시 서초구,52,52,52,52,52,11650,서초구,127.03800000000001,37.477000000000004,서울특별시 서초구,서울특별시,서초구,0.5862068965517241
131,서울특별시 성동구,30,30,30,30,30,11200,성동구,127.0415,37.5505,서울특별시 성동구,서울특별시,성동구,0.3333333333333333
132,서울특별시 성북구,34,34,34,34,34,11290,성북구,127.0235,37.607,서울특별시 성북구,서울특별시,성북구,0.3793103448275862
133,서울특별시 송파구,67,67,67,67,67,11710,송파구,127.11449999999999,37.504999999999995,서울특별시 송파구,서울특별시,송파구,0.7586206896551724
134,서울특별시 양천구,46,46,46,46,46,11470,양천구,126.856,37.527,서울특별시 양천구,서울특별시,양천구,0.5172413793103449
135,서울특별시 영등포구,32,32,32,32,32,11560,영등포구,126.914,37.5205,서울특별시 영등포구,서울특별시,영등포구,0.3563218390804598
136,서울특별시 용산구,30,30,30,30,30,11170,용산구,126.9815,37.531499999999994,서울특별시 용산구,서울특별시,용산구,0.3333333333333333
137,서울특별시 은평구,40,40,40,40,40,11380,은평구,126.9225,37.617999999999995,서울특별시 은평구,서울특별시,은평구,0.4482758620689655
138,서울특별시 종로구,11,11,11,11,11,11110,종로구,126.98599999999999,37.599000000000004,서울특별시 종로구,서울특별시,종로구,0.11494252873563218
139,서울특별시 중구,17,17,17,17,17,11140,중구,126.9945,37.558,서울특별시 중구,서울특별시,중구,0.1839080459770115
140,서울특별시 중랑구,33,33,33,33,33,11260,중랑구,127.0935,37.5955,서울특별시 중랑구,서울특별시,중랑구,0.367816091954023
141,울산광역시 남구,28,28,28,28,28,31140,남구,129.313,35.508,울산광역시 남구,울산광역시,남구,0.3103448275862069
142,울산광역시 동구,6,6,6,6,6,31170,동구,129.423,35.522000000000006,울산광역시 동구,울산광역시,동구,0.05747126436781609
143,울산광역시 북구,10,10,10,10,10,31200,북구,129.3765,35.598,울산광역시 북구,울산광역시,북구,0.10344827586206896
144,울산광역시 울주군,20,20,20,20,20,31710,울주군,129.1695,35.5275,울산광역시 울주군,울산광역시,울주군,0.21839080459770116
145,울산광역시 중구,13,13,13,13,13,31110,중구,129.30349999999999,35.572,울산광역시 중구,울산광역시,중구,0.13793103448275862
146,인천광역시 강화군,9,9,9,9,9,28710,강화군,126.5145,37.589,인천광역시 강화군,인천광역시,강화군,0.09195402298850575
147,인천광역시 계양구,23,23,23,23,23,28245,계양구,126.738,37.559,인천광역시 계양구,인천광역시,계양구,0.25287356321839083
148,인천광역시 남동구,44,44,44,44,44,28200,남동구,126.7235,37.43,인천광역시 남동구,인천광역시,남동구,0.4942528735632184
149,인천광역시 동구,4,4,4,4,4,28140,동구,126.642,37.482,인천광역시 동구,인천광역시,동구,0.034482758620689655
150,인천광역시 부평구,31,31,31,31,31,28237,부평구,126.72550000000001,37.494,인천광역시 부평구,인천광역시,부평구,0.3448275862068966
151,인천광역시 서구,35,35,35,35,35,28260,서구,126.65899999999999,37.556,인천광역시 서구,인천광역시,서구,0.39080459770114945
152,인천광역시 연수구,31,31,31,31,31,28185,연수구,126.645,37.3905,인천광역시 연수구,인천광역시,연수구,0.3448275862068966
153,인천광역시 옹진군,1,1,1,1,1,28720,옹진군,125.9925,37.0295,인천광역시 옹진군,인천광역시,옹진군,0.0
154,인천광역시 중구,8,8,8,8,8,28110,중구,126.443,37.373000000000005,인천광역시 중구,인천광역시,중구,0.08045977011494253
155,전라남도 강진군,5,5,5,5,5,46810,강진군,126.7815,34.533500000000004,전라남도 강진군,전라남도,강진군,0.04597701149425287
156,전라남도 고흥군,10,10,10,10,10,46770,고흥군,127.319,34.32,전라남도 고흥군,전라남도,고흥군,0.10344827586206896
157,전라남도 곡성군,5,5,5,5,5,46720,곡성군,127.2465,35.203,전라남도 곡성군,전라남도,곡성군,0.04597701149425287
158,전라남도 광양시,7,7,7,7,7,46230,광양시,127.643,34.8985,전라남도 광양시,전라남도,광양시,0.06896551724137931
159,전라남도 구례군,5,5,5,5,5,46730,구례군,127.49600000000001,35.230000000000004,전라남도 구례군,전라남도,구례군,0.04597701149425287
160,전라남도 나주시,18,18,18,18,18,46170,나주시,126.706,34.9915,전라남도 나주시,전라남도,나주시,0.19540229885057472
161,전라남도 담양군,6,6,6,6,6,46710,담양군,126.98599999999999,35.2915,전라남도 담양군,전라남도,담양군,0.05747126436781609
162,전라남도 목포시,10,10,10,10,10,46110,목포시,126.3625,34.763,전라남도 목포시,전라남도,목포시,0.10344827586206896
163,전라남도 무안군,11,11,11,11,11,46840,무안군,126.318,35.010000000000005,전라남도 무안군,전라남도,무안군,0.11494252873563218
164,전라남도 보성군,10,10,10,10,10,46780,보성군,127.423,34.7825,전라남도 보성군,전라남도,보성군,0.10344827586206896
165,전라남도 순천시,21,21,21,21,21,46150,순천시,127.3845,35.010000000000005,전라남도 순천시,전라남도,순천시,0.22988505747126436
166,전라남도 신안군,1,1,1,1,1,46910,신안군,126.21600000000001,35.0625,전라남도 신안군,전라남도,신안군,0.0
167,전라남도 여수시,14,14,14,14,14,46130,여수시,127.3155,34.0275,전라남도 여수시,전라남도,여수시,0.14942528735632185
168,전라남도 영광군,11,11,11,11,11,46870,영광군,126.21000000000001,35.1855,전라남도 영광군,전라남도,영광군,0.11494252873563218
169,전라남도 영암군,9,9,9,9,9,46830,영암군,126.44,34.7295,전라남도 영암군,전라남도,영암군,0.09195402298850575
170,전라남도 완도군,3,3,3,3,3,46890,완도군,126.92349999999999,33.9795,전라남도 완도군,전라남도,완도군,0.022988505747126436
171,전라남도 장성군,7,7,7,7,7,46880,장성군,126.755,35.339,전라남도 장성군,전라남도,장성군,0.06896551724137931
172,전라남도 장흥군,7,7,7,7,7,46800,장흥군,126.9635,34.459,전라남도 장흥군,전라남도,장흥군,0.06896551724137931
173,전라남도 진도군,2,2,2,2,2,46900,진도군,125.94399999999999,34.1455,전라남도 진도군,전라남도,진도군,0.011494252873563218
174,전라남도 함평군,9,9,9,9,9,46860,함평군,126.521,35.105,전라남도 함평군,전라남도,함평군,0.09195402298850575
175,전라남도 해남군,10,10,10,10,10,46820,해남군,126.495,34.5275,전라남도 해남군,전라남도,해남군,0.10344827586206896
176,전라남도 화순군,7,7,7,7,7,46790,화순군,127.01249999999999,35.019,전라남도 화순군,전라남도,화순군,0.06896551724137931
177,전라북도 고창군,13,13,13,13,13,45790,고창군,126.6015,35.4385,전라북도 고창군,전라북도,고창군,0.13793103448275862
178,전라북도 군산시,16,16,16,16,16,45130,군산시,126.4505,35.7385,전라북도 군산시,전라북도,군산시,0.1724137931034483
179,전라북도 김제시,18,18,18,18,18,45210,김제시,126.5015,35.772999999999996,전라북도 김제시,전라북도,김제시,0.19540229885057472
180,전라북도 남원시,10,10,10,10,10,45190,남원시,127.429,35.4315,전라북도 남원시,전라북도,남원시,0.10344827586206896
181,전라북도 무주군,6,6,6,6,6,45730,무주군,127.7175,35.9285,전라북도 무주군,전라북도,무주군,0.05747126436781609
182,전라북도 부안군,8,8,8,8,8,45800,부안군,126.2825,35.595,전라북도 부안군,전라북도,부안군,0.08045977011494253
183,전라북도 순창군,7,7,7,7,7,45770,순창군,127.08699999999999,35.428,전라북도 순창군,전라북도,순창군,0.06896551724137931
184,전라북도 완주군,13,13,13,13,13,45710,완주군,127.0315,35.82899999999999,전라북도 완주군,전라북도,완주군,0.13793103448275862
185,전라북도 익산시,27,27,27,27,27,45140,익산시,126.99549999999999,36.0205,전라북도 익산시,전라북도,익산시,0.2988505747126437
186,전라북도 임실군,8,8,8,8,8,45750,임실군,127.2595,35.619,전라북도 임실군,전라북도,임실군,0.08045977011494253
187,전라북도 장수군,6,6,6,6,6,45740,장수군,127.531,35.6535,전라북도 장수군,전라북도,장수군,0.05747126436781609
188,전라북도 정읍시,22,22,22,22,22,45180,정읍시,126.916,35.61,전라북도 정읍시,전라북도,정읍시,0.2413793103448276
189,전라북도 진안군,5,5,5,5,5,45720,진안군,127.44550000000001,35.824,전라북도 진안군,전라북도,진안군,0.04597701149425287
190,제주특별자치도 서귀포시,24,24,24,24,24,50130,서귀포시,126.2675,33.117999999999995,제주특별자치도 서귀포시,제주특별자치도,서귀포시,0.26436781609195403
191,제주특별자치도 제주시,88,88,88,88,88,50110,제주시,126.227,33.408500000000004,제주특별자치도 제주시,제주특별자치도,제주시,1.0
192,충청남도 계룡시,3,3,3,3,3,44250,계룡시,127.244,36.291,충청남도 계룡시,충청남도,계룡시,0.022988505747126436
193,충청남도 공주시,21,21,21,21,21,44150,공주시,127.083,36.478,충청남도 공주시,충청남도,공주시,0.22988505747126436
194,충청남도 금산군,5,5,5,5,5,44710,금산군,127.4785,36.125,충청남도 금산군,충청남도,금산군,0.04597701149425287
195,충청남도 논산시,18,18,18,18,18,44230,논산시,127.15799999999999,36.2015,충청남도 논산시,충청남도,논산시,0.19540229885057472
196,충청남도 당진시,24,24,24,24,24,44270,당진시,126.6605,36.908,충청남도 당진시,충청남도,당진시,0.26436781609195403
197,충청남도 보령시,9,9,9,9,9,44180,보령시,126.053,36.2025,충청남도 보령시,충청남도,보령시,0.09195402298850575
198,충청남도 부여군,13,13,13,13,13,44760,부여군,126.874,36.2295,충청남도 부여군,충청남도,부여군,0.13793103448275862
199,충청남도 서산시,21,21,21,21,21,44210,서산시,126.3365,36.9075,충청남도 서산시,충청남도,서산시,0.22988505747126436
200,충청남도 서천군,5,5,5,5,5,44770,서천군,126.60499999999999,35.9955,충청남도 서천군,충청남도,서천군,0.04597701149425287
201,충청남도 아산시,24,24,24,24,24,44200,아산시,126.97399999999999,36.795500000000004,충청남도 아산시,충청남도,아산시,0.26436781609195403
202,충청남도 예산군,14,14,14,14,14,44810,예산군,126.779,36.665,충청남도 예산군,충청남도,예산군,0.14942528735632185
203,충청남도 청양군,5,5,5,5,5,44790,청양군,126.851,36.4435,충청남도 청양군,충청남도,청양군,0.04597701149425287
204,충청남도 태안군,7,7,7,7,7,44825,태안군,126.239,36.781000000000006,충청남도 태안군,충청남도,태안군,0.06896551724137931
205,충청남도 홍성군,22,22,22,22,22,44800,홍성군,126.607,36.566500000000005,충청남도 홍성군,충청남도,홍성군,0.2413793103448276
206,충청북도 괴산군,5,5,5,5,5,43760,괴산군,127.8465,36.7745,충청북도 괴산군,충청북도,괴산군,0.04597701149425287
207,충청북도 단양군,1,1,1,1,1,43800,단양군,128.4345,36.980000000000004,충청북도 단양군,충청북도,단양군,0.0
208,충청북도 보은군,8,8,8,8,8,43720,보은군,127.7105,36.4915,충청북도 보은군,충청북도,보은군,0.08045977011494253
209,충청북도 영동군,4,4,4,4,4,43740,영동군,127.8225,36.164,충청북도 영동군,충청북도,영동군,0.034482758620689655
210,충청북도 옥천군,6,6,6,6,6,43730,옥천군,127.6885,36.308,충청북도 옥천군,충청북도,옥천군,0.05747126436781609
211,충청북도 음성군,12,12,12,12,12,43770,음성군,127.6215,36.994,충청북도 음성군,충청북도,음성군,0.12643678160919541
212,충청북도 제천시,9,9,9,9,9,43150,제천시,128.1275,37.035,충청북도 제천시,충청북도,제천시,0.09195402298850575
213,충청북도 증평군,4,4,4,4,4,43745,증평군,127.60050000000001,36.7805,충청북도 증평군,충청북도,증평군,0.034482758620689655
214,충청북도 진천군,8,8,8,8,8,43750,진천군,127.4375,36.8805,충청북도 진천군,충청북도,진천군,0.08045977011494253
215,충청북도 충주시,15,15,15,15,15,43130,충주시,127.89249999999998,37.0045,충청북도 충주시,충청북도,충주시,0.16091954022988506
